dates,Consumer Confidence,Services Sector
2004-01-01,106.09,
2004-02-01,105.43,
2004-03-01,104.86,
2004-04-01,104.65,
2004-05-01,101.04,
2004-06-01,100.66,
2004-07-01,99.1,
2004-08-01,96.14,
2004-09-01,97.49,
2004-10-01,98.49,
2004-11-01,97.22,
2004-12-01,98.45,
2005-01-01,98.55,
2005-02-01,98.46,
2005-03-01,96.18,
2005-04-01,95.34,
2005-05-01,95.48,
2005-06-01,95.34,
2005-07-01,95.99,
2005-08-01,95.03,
2005-09-01,93.58,
2005-10-01,96.11,
2005-11-01,97.26,
2005-12-01,97.06,
2006-01-01,98.95,
2006-02-01,98.49,
2006-03-01,99.33,
2006-04-01,100.72,
2006-05-01,99.33,
2006-06-01,93.73,
2006-07-01,91.12,
2006-08-01,93.88,
2006-09-01,93.61,
2006-10-01,94.25,
2006-11-01,95.58,
2006-12-01,93.83,
2007-01-01,93.69,
2007-02-01,94.44,
2007-03-01,93.93,
2007-04-01,95.55,
2007-05-01,96.87,
2007-06-01,96.53,
2007-07-01,97.2,
2007-08-01,99.75,
2007-09-01,98.88,
2007-10-01,97.67,
2007-11-01,93.9,
2007-12-01,94.72,
2008-01-01,92.63,
2008-02-01,88.96,
2008-03-01,84.34,
2008-04-01,79.49,
2008-05-01,78.63,
2008-06-01,78.81,
2008-07-01,80.56,
2008-08-01,83.36,
2008-09-01,84.34,
2008-10-01,78.93,
2008-11-01,73.87,
2008-12-01,74.01,
2009-01-01,74.43,
2009-02-01,76.2,
2009-03-01,76.86,
2009-04-01,82.04,
2009-05-01,84.75,
2009-06-01,87.54,
2009-07-01,85.73,
2009-08-01,85.84,
2009-09-01,86.58,
2009-10-01,85.28,
2009-11-01,83.8,
2009-12-01,83.97,
2010-01-01,84.32,
2010-02-01,86.45,
2010-03-01,89.08,
2010-04-01,89.92,
2010-05-01,91.21,
2010-06-01,92.68,
2010-07-01,92.71,
2010-08-01,92.78,
2010-09-01,95.21,
2010-10-01,93.33,
2010-11-01,95.47,
2010-12-01,94.41,
2011-01-01,94.45,131.18
2011-02-01,96.15,129.55
2011-03-01,95.93,129.78
2011-04-01,95.8,129.72
2011-05-01,95.27,130.61
2011-06-01,97.97,130.81
2011-07-01,97.02,129.27
2011-08-01,94.72,125.71
2011-09-01,95.72,128.19
2011-10-01,92.03,126.83
2011-11-01,92.68,126.92
2011-12-01,92.82,126.93
2012-01-01,92.74,125.06
2012-02-01,94.03,124.26
2012-03-01,93.32,124.91
2012-04-01,88.85,124.97
2012-05-01,91.81,125.4
2012-06-01,91.14,126.07
2012-07-01,91.85,126.98
2012-08-01,89.86,124.89
2012-09-01,89.12,124.13
2012-10-01,85.26,124.6
2012-11-01,89.86,122.0
2012-12-01,89.31,122.5
2013-01-01,91.77,122.85
2013-02-01,92.03,124.05
2013-03-01,92.2,123.6
2013-04-01,92.81,125.27
2013-05-01,95.41,124.28
2013-06-01,94.41,122.43
2013-07-01,95.89,121.25
2013-08-01,94.87,124.35
2013-09-01,91.52,122.89
2013-10-01,93.67,124.3
2013-11-01,96.76,124.42
2013-12-01,94.41,123.04
2014-01-01,91.81,122.7
2014-02-01,89.53,121.51
2014-03-01,92.59,119.79
2014-04-01,97.43,119.54
2014-05-01,95.0,118.4
2014-06-01,93.2,119.47
2014-07-01,93.06,116.47
2014-08-01,93.24,119.44
2014-09-01,94.1,120.13
2014-10-01,91.7,119.67
2014-11-01,90.89,117.28
2014-12-01,90.42,118.88
2015-01-01,89.62,122.23
2015-02-01,89.13,122.64
2015-03-01,86.69,120.28
2015-04-01,87.49,120.7
2015-05-01,86.69,120.38
2015-06-01,89.3,118.52
2015-07-01,87.54,118.57
2015-08-01,84.79,119.98
2015-09-01,82.23,116.56
2015-10-01,86.3,117.4
2015-11-01,95.23,119.21
2015-12-01,93.64,118.59
2016-01-01,92.24,116.31
2016-02-01,90.04,113.27
2016-03-01,90.08,115.14
2016-04-01,91.31,111.55
2016-05-01,91.53,113.98
2016-06-01,91.63,114.13
2016-07-01,88.9,115.58
2016-08-01,94.72,111.81
2016-09-01,94.81,114.92
2016-10-01,95.29,114.06
2016-11-01,91.56,114.46
2016-12-01,87.37,114.02
2017-01-01,88.72,110.37
2017-02-01,88.03,113.33
2017-03-01,90.11,116.3
2017-04-01,92.02,118.37
2017-05-01,93.99,121.58
2017-06-01,92.26,118.98
2017-07-01,92.41,121.49
2017-08-01,93.01,122.93
2017-09-01,92.0,122.38
2017-10-01,89.92,121.78
2017-11-01,87.59,119.95
2017-12-01,88.22,117.7
2018-01-01,92.74,120.16
2018-02-01,93.36,118.38
2018-03-01,92.46,116.94
2018-04-01,91.71,114.52
2018-05-01,90.67,111.73
2018-06-01,90.6,110.14
2018-07-01,92.07,110.64
2018-08-01,88.19,105.89
2018-09-01,81.15,97.88
2018-10-01,78.8,95.55
2018-11-01,81.22,99.29
2018-12-01,80.09,101.36
2019-01-01,80.5,98.66
2019-02-01,79.22,99.2
2019-03-01,81.31,102.43
2019-04-01,83.62,103.9
2019-05-01,76.89,101.71
2019-06-01,79.75,107.24
2019-07-01,78.26,105.31
2019-08-01,79.14,109.45
2019-09-01,77.66,109.36
2019-10-01,78.47,111.24
2019-11-01,81.28,110.48
2019-12-01,80.73,113.38
2020-01-01,81.37,113.73
2020-02-01,79.62,115.64
2020-03-01,81.12,111.08
2020-04-01,78.14,53.79
2020-05-01,82.67,62.08
2020-06-01,82.67,73.48
2020-07-01,82.28,89.38
2020-08-01,79.43,93.75
2020-09-01,81.99,98.16
2020-10-01,81.94,100.69
2020-11-01,80.13,102.79
2020-12-01,80.09,98.96
2021-01-01,83.27,101.87
2021-02-01,84.52,100.4
2021-03-01,86.65,105.5
2021-04-01,80.17,103.35
2021-05-01,77.26,102.22
2021-06-01,81.72,108.51
2021-07-01,79.48,114.77
2021-08-01,78.22,116.12
2021-09-01,79.65,117.82
2021-10-01,76.78,120.28
2021-11-01,71.15,119.41
2021-12-01,68.91,118.8
2022-01-01,73.21,120.18
2022-02-01,71.15,118.69
2022-03-01,72.53,111.34
2022-04-01,67.27,114.64
2022-05-01,67.57,121.66
2022-06-01,63.36,119.63
2022-07-01,68.03,117.8
2022-08-01,72.16,116.24
2022-09-01,72.35,118.18
2022-10-01,76.15,119.26
2022-11-01,76.63,118.06
2022-12-01,75.64,120.11
2023-01-01,79.1,118.12
2023-02-01,82.5,115.53
2023-03-01,80.13,116.78
2023-04-01,87.52,118.05
2023-05-01,91.06,117.35
2023-06-01,85.13,118.05
2023-07-01,80.07,117.32
2023-08-01,68.01,115.33
2023-09-01,71.47,112.99
2023-10-01,74.62,113.57
2023-11-01,75.47,110.91
2023-12-01,77.42,112.25
2024-01-01,80.42,116.75
2024-02-01,79.34,118.63
2024-03-01,79.35,120.43
2024-04-01,80.46,117.1
2024-05-01,80.51,117.13
2024-06-01,78.3,115.4
2024-07-01,75.88,114.11
2024-08-01,76.37,111.84
2024-09-01,78.22,112.56
2024-10-01,80.55,114.23
2024-11-01,79.77,110.95
2024-12-01,81.27,113.6
2025-01-01,80.96,116.49
2025-02-01,82.07,114.23
2025-03-01,85.86,114.42
2025-04-01,83.86,109.54
2025-05-01,84.79,110.49
2025-06-01,85.06,110.89
2025-07-01,83.52,109.96
2025-08-01,84.25,111.13
2025-09-01,83.87,111.04
2025-10-01,83.63,110.72
