dates,Compensation of employees,Operating surplus
1987-01-01,,
1987-04-01,,
1987-07-01,,
1987-10-01,,
1988-01-01,,
1988-04-01,,
1988-07-01,,
1988-10-01,,
1989-01-01,,
1989-04-01,,
1989-07-01,,
1989-10-01,,
1990-01-01,,
1990-04-01,,
1990-07-01,,
1990-10-01,,
1991-01-01,,
1991-04-01,,
1991-07-01,,
1991-10-01,,
1992-01-01,,
1992-04-01,,
1992-07-01,,
1992-10-01,,
1993-01-01,,
1993-04-01,,
1993-07-01,,
1993-10-01,,
1994-01-01,,
1994-04-01,,
1994-07-01,,
1994-10-01,,
1995-01-01,,
1995-04-01,,
1995-07-01,,
1995-10-01,22.77112240820082,
1996-01-01,23.806617956095824,
1996-04-01,23.8474952770454,
1996-07-01,24.80698893418754,
1996-10-01,24.59408670735776,66.7974407787569
1997-01-01,25.278597538482177,66.25729400717664
1997-04-01,26.27586646459783,65.29913743042081
1997-07-01,26.286017116639684,65.08196721311477
1997-10-01,26.360237316141145,64.36134552361555
1998-01-01,26.27271634944759,64.74728225927151
1998-04-01,26.04429345224872,65.13994773069206
1998-07-01,25.61417955287678,65.94728043112117
1998-10-01,26.284266442125855,65.63602990727965
1999-01-01,26.7831618968986,65.1317658780973
1999-04-01,27.17083678809356,64.67877360720789
1999-07-01,27.373050152372027,64.33225933479973
1999-10-01,27.4350246114315,63.76415820159326
2000-01-01,27.07871573449017,63.46281937995005
2000-04-01,26.922097278939997,63.23717057040347
2000-07-01,26.505696643588827,63.19912670840223
2000-10-01,26.501728975771055,62.93402531173957
2001-01-01,25.98295910521214,63.51454366241602
2001-04-01,25.371633179684373,64.00356830253361
2001-07-01,24.833042228387956,64.49598942677171
2001-10-01,24.666652946356006,64.46133656809835
2002-01-01,25.013583280831813,64.1204290274034
2002-04-01,25.143237954740076,63.8459932721011
2002-07-01,24.88197680889615,63.8572470917615
2002-10-01,24.825621895208357,63.6100095120841
2003-01-01,24.95254182960118,63.27087076538812
2003-04-01,25.01174582563799,62.86671265751007
2003-07-01,25.06135945207868,62.69485490972869
2003-10-01,25.029554148523644,62.70568335359943
2004-01-01,25.161984435420877,62.67508941079257
2004-04-01,25.094217271529985,62.84923915899904
2004-07-01,24.912958001060762,63.06957655924029
2004-10-01,24.782531434835033,63.05007048989925
2005-01-01,24.70569717841452,63.112926279649386
2005-04-01,24.699895209127483,62.946251906856155
2005-07-01,24.80732317075678,62.71953058222054
2005-10-01,24.77122236468982,62.8944862695935
2006-01-01,24.871902483158266,62.5770620989247
2006-04-01,24.751318103602443,62.68938317717445
2006-07-01,24.678333303145124,62.963969478023216
2006-10-01,24.661618923582882,63.07831189968823
2007-01-01,24.833031393521132,63.289900173718145
2007-04-01,25.107493344106583,63.550127261983405
2007-07-01,25.374428470775182,63.359504422901075
2007-10-01,25.440421843326668,63.432494919945604
2008-01-01,25.47384456639198,63.4936295480583
2008-04-01,25.33609088694814,63.541212398674354
2008-07-01,25.275655025954265,63.800703955955505
2008-10-01,25.49751100081261,63.77904678747735
2009-01-01,26.09949947596309,63.423353285924044
2009-04-01,26.560587596880282,63.131888867423626
2009-07-01,26.68045827608201,63.02910328289183
2009-10-01,26.565732977750695,63.042995221656845
2010-01-01,26.798598576794006,62.40937852520179
2010-04-01,26.935394037565487,61.85842155525567
2010-07-01,26.853464999168107,61.66485381495298
2010-10-01,26.763439927622,61.343726616600684
2011-01-01,26.72629620517792,61.330927844376745
2011-04-01,26.588726948124783,61.346500047759804
2011-07-01,26.490660872960973,61.323979324355015
2011-10-01,26.340525656398633,61.822650814064794
2012-01-01,26.576216836919222,61.62046538977364
2012-04-01,26.940591009990747,61.52015478041178
2012-07-01,27.34146266694106,61.38220099941833
2012-10-01,27.674201527852087,60.84517636309618
2013-01-01,27.930081172678833,60.36879335089301
2013-04-01,27.97874927224038,60.018512619344506
2013-07-01,27.94051548992429,60.03405303636512
2013-10-01,27.756253603123582,60.1184341261661
2014-01-01,27.73818693229439,60.481313379772075
2014-04-01,27.97264683048566,60.44880617076832
2014-07-01,28.291321530777903,60.24004153133806
2014-10-01,28.77558030413921,59.86066920867577
2015-01-01,29.433248500038726,58.82448084583374
2015-04-01,29.62502950214144,58.62168976341507
2015-07-01,29.632145926366075,58.60055323300899
2015-10-01,29.521383299170356,58.795302972639895
2016-01-01,30.308073928829028,58.29662007591168
2016-04-01,31.0736601903941,57.76185905017565
2016-07-01,31.89091005977757,57.07181352697296
2016-10-01,32.006409458658766,56.75417846947672
2017-01-01,31.701817077813818,57.356367735537994
2017-04-01,31.38373098324897,57.72392792899134
2017-07-01,30.564894652640636,58.58077214167051
2017-10-01,30.097951178748403,59.32464182784662
2018-01-01,30.05403714884671,59.4106063339663
2018-04-01,29.831846154849615,59.8192643645545
2018-07-01,29.40039474336679,60.56639574869447
2018-10-01,29.407883537101686,61.103597255962924
2019-01-01,29.72065426870103,61.09991592733529
2019-04-01,30.091078060548774,60.91842002134115
2019-07-01,30.49722593516264,60.6277466972673
2019-10-01,30.55334600439831,60.36157991285152
2020-01-01,30.78116403545372,60.12505778224151
2020-04-01,30.84187627333699,60.16779031908137
2020-07-01,29.935876700615164,60.70378249647638
2020-10-01,28.96919499903398,61.38823701979649
2021-01-01,28.34591269105256,61.83483471702196
2021-04-01,27.734914436762736,62.55583417930512
2021-07-01,27.620322487269284,63.03096164353136
2021-10-01,26.50352802743587,64.39776486316238
2022-01-01,26.032108851696925,64.63589766423053
2022-04-01,24.329386857726238,65.96515690988912
2022-07-01,23.71511428292012,66.60025428475693
2022-10-01,23.408867203678493,66.9005561352766
2023-01-01,25.52406336407654,65.13585611535227
2023-04-01,27.23145134125203,63.402699912354365
2023-07-01,28.193629748982968,62.071078966434676
2023-10-01,28.62714968085655,61.49302848253438
2024-01-01,30.261797588280892,59.825999719381535
2024-04-01,31.598935856241585,58.46518716449623
2024-07-01,32.212329050767394,58.15869596868407
2024-10-01,32.9034696944756,57.56833768452356
2025-01-01,33.54223179755412,56.97241513039046
2025-04-01,33.50642423089872,57.00880009993209
