,Current Account Balance,Portfolio,Reserves (+ = drawdown),Other Inv. & FDI,E&O
2022-01-01,9.081287102263643,-3.6586699209722577,3.885752786668513,4.899515579955367,3.9546886566120194
2022-04-01,5.0519772018269,-3.886896399769736,2.1028944931502083,2.9387523854510498,3.8972267229953776
2022-07-01,2.8510123415489144,-1.6772227696000932,-6.016781417784559,7.729075812265119,2.8159407166684463
2022-10-01,4.359394044687413,0.48048289975567543,-4.526075559530561,5.97445234132163,2.430534363140669
2023-01-01,8.813524897716379,-0.9724016070795853,5.2946396310753485,4.307409177528671,0.183877696191946
2023-04-01,4.0245575041100725,-0.28993814129305606,4.412462321715813,2.7520712268574425,-2.850037903170127
2023-07-01,0.7081691795121503,0.8558112795346007,-5.706019126177828,4.371378504883071,1.1869985212723058
2023-10-01,1.6001581322567526,2.3521068971097514,-3.1148675412347555,4.371835699180121,-2.008916922798364
2024-01-01,3.1297567568948397,0.07025451062146487,7.423451033946227,-1.852431724246904,-2.511517063425949
2024-04-01,1.4612806216856336,3.067661769624305,-5.119931229997203,2.404745416850234,1.1088046652082977
2024-07-01,-2.7198150575025197,-0.1176168513506742,-0.6379370846101289,-1.5824541345429544,-0.38180698699876225
2024-10-01,1.4856403679897632,0.651735606977992,-1.3283638933891713,3.725981516976611,-1.5637128625756684
2025-01-01,3.549150591574336,0.40814666111266873,3.279598430770197,0.5699345267789518,-0.708529027087481
2025-04-01,2.8177348470944774,-1.945920145958406,4.13395204813974,1.5139948966440366,-0.8842919517308936
