dates,Personnel,Goods & services,Current transfers,Capital exp.,Primary exp.,Other
2006-01-01,4.7297208014013465,2.376788020307718,6.2356129065183525,1.513236316131547,16.531584585387428,1.6762265410284656
2007-01-01,4.879992773341201,2.4930316281689153,7.089098923460813,1.4564741655908444,17.396266868457563,1.4776693778957883
2008-01-01,4.840993879536184,2.418847845897761,6.971757818332934,1.834671973202299,17.475784538350325,1.409513021381146
2009-01-01,5.52011035309656,2.9401686396280335,9.074974867053644,1.9803951671729434,21.215205213010663,1.6995561860594803
2010-01-01,5.298707025563583,2.48160831870808,8.660962902874713,2.2116704420227746,20.92261285253663,2.269664163367481
2011-01-01,5.156643654863261,2.319492116073408,7.814714447011265,2.185688386258831,19.26295726721191,1.786418663005146
2012-01-01,5.437738027225825,2.0687159869015375,8.142956771400533,2.1612736888896267,19.714523927938835,1.903839453521312
2013-01-01,5.253756365518325,1.9864256140596066,8.120271882970545,2.389377445756612,19.55723616400545,1.80740485570036
2014-01-01,5.3516449276367215,1.978345905187566,7.868767995782691,2.337169993069099,19.338979523537667,1.8030507018615864
2015-01-01,5.312161109294155,1.9355245159308023,7.759831858087165,2.4298085379419745,19.256138046831534,1.818812025577439
2016-01-01,5.660258424743442,2.057048128848948,8.54935799899627,2.2690940312619663,20.297616935985374,1.7618583521347488
2017-01-01,5.144980252761105,2.0180792867157953,8.596600215539809,2.252322491570124,19.722406189350874,1.7104239427640395
2018-01-01,5.277929904358862,1.890093160104487,8.482349489785731,2.3203476588023917,19.883155804450475,1.9124355913990017
2019-01-01,5.676722079329215,1.916437303852768,9.093844473021026,1.8336243719517609,20.446999425540422,1.9263711973856548
2020-01-01,5.5970617054954435,1.8859734929461023,9.686712258756842,1.8231659907113398,20.805815480941302,1.8129020330315746
2021-01-01,4.65816447386484,1.795244596239401,8.432134741748968,1.7660097361512246,19.13816499150051,2.4866114434960775
2022-01-01,4.014754587141372,1.6812108229506897,7.349429889975162,1.8067231931394376,17.172575890125557,2.3204573969188997
2023-01-01,4.88930405032926,1.675417631744452,8.762343124463488,2.0080516859087574,21.82753943011529,4.4924229376693345
2024-01-01,5.979208970964117,1.6705784148870173,8.665258994417583,2.1151799902866797,21.321249199504464,2.891022828949068
